Time_Key,FullDate,Month,MonthName,Quarter,Year
1,2017-01-01,1,January,Q1,2017
2,2017-01-31,1,January,Q1,2017
3,2017-03-02,3,March,Q1,2017
4,2017-04-01,4,April,Q2,2017
5,2017-05-01,5,May,Q2,2017
6,2017-05-31,5,May,Q2,2017
7,2017-06-30,6,June,Q2,2017
8,2017-07-30,7,July,Q3,2017
9,2017-08-29,8,August,Q3,2017
10,2017-09-28,9,September,Q3,2017
11,2017-10-28,10,October,Q4,2017
12,2017-11-27,11,November,Q4,2017
13,2017-12-27,12,December,Q4,2017
14,2018-01-26,1,January,Q1,2018
15,2018-02-25,2,February,Q1,2018
16,2018-03-27,3,March,Q1,2018
17,2018-04-26,4,April,Q2,2018
18,2018-05-26,5,May,Q2,2018
19,2018-06-25,6,June,Q2,2018
20,2018-07-25,7,July,Q3,2018
21,2018-08-24,8,August,Q3,2018
22,2018-09-23,9,September,Q3,2018
23,2018-10-23,10,October,Q4,2018
24,2018-11-22,11,November,Q4,2018
25,2018-12-22,12,December,Q4,2018
26,2019-01-21,1,January,Q1,2019
27,2019-02-20,2,February,Q1,2019
28,2019-03-22,3,March,Q1,2019
29,2019-04-21,4,April,Q2,2019
30,2019-05-21,5,May,Q2,2019
31,2019-06-20,6,June,Q2,2019
32,2019-07-20,7,July,Q3,2019
33,2019-08-19,8,August,Q3,2019
34,2019-09-18,9,September,Q3,2019
35,2019-10-18,10,October,Q4,2019
36,2019-11-17,11,November,Q4,2019
37,2019-12-17,12,December,Q4,2019
38,2020-01-16,1,January,Q1,2020
39,2020-02-15,2,February,Q1,2020
40,2020-03-16,3,March,Q1,2020
41,2020-04-15,4,April,Q2,2020
42,2020-05-15,5,May,Q2,2020
43,2020-06-14,6,June,Q2,2020
44,2020-07-14,7,July,Q3,2020
45,2020-08-13,8,August,Q3,2020
46,2020-09-12,9,September,Q3,2020
47,2020-10-12,10,October,Q4,2020
48,2020-11-11,11,November,Q4,2020
49,2020-12-11,12,December,Q4,2020
50,2021-01-10,1,January,Q1,2021
51,2021-02-09,2,February,Q1,2021
52,2021-03-11,3,March,Q1,2021
53,2021-04-10,4,April,Q2,2021
54,2021-05-10,5,May,Q2,2021
55,2021-06-09,6,June,Q2,2021
56,2021-07-09,7,July,Q3,2021
57,2021-08-08,8,August,Q3,2021
58,2021-09-07,9,September,Q3,2021
59,2021-10-07,10,October,Q4,2021
60,2021-11-06,11,November,Q4,2021
61,2021-12-06,12,December,Q4,2021
62,2022-01-05,1,January,Q1,2022
63,2022-02-04,2,February,Q1,2022
64,2022-03-06,3,March,Q1,2022
65,2022-04-05,4,April,Q2,2022
66,2022-05-05,5,May,Q2,2022
67,2022-06-04,6,June,Q2,2022
68,2022-07-04,7,July,Q3,2022
69,2022-08-03,8,August,Q3,2022
70,2022-09-02,9,September,Q3,2022
71,2022-10-02,10,October,Q4,2022
72,2022-11-01,11,November,Q4,2022
73,2022-12-01,12,December,Q4,2022
74,2022-12-31,12,December,Q4,2022
75,2023-01-30,1,January,Q1,2023
76,2023-03-01,3,March,Q1,2023
77,2023-03-31,3,March,Q1,2023
78,2023-04-30,4,April,Q2,2023
79,2023-05-30,5,May,Q2,2023
80,2023-06-29,6,June,Q2,2023
81,2023-07-29,7,July,Q3,2023
82,2023-08-28,8,August,Q3,2023
83,2023-09-27,9,September,Q3,2023
84,2023-10-27,10,October,Q4,2023
85,2023-11-26,11,November,Q4,2023
86,2023-12-26,12,December,Q4,2023
87,2024-01-25,1,January,Q1,2024
88,2024-02-24,2,February,Q1,2024
89,2024-03-25,3,March,Q1,2024
90,2024-04-24,4,April,Q2,2024
91,2024-05-24,5,May,Q2,2024
92,2024-06-23,6,June,Q2,2024
93,2024-07-23,7,July,Q3,2024
94,2024-08-22,8,August,Q3,2024
95,2024-09-21,9,September,Q3,2024
96,2024-10-21,10,October,Q4,2024
97,2024-11-20,11,November,Q4,2024
98,2024-12-20,12,December,Q4,2024
